
City,Name,Location,Rating
Skopje,Parking,Кеј 13-ти Ноември 8,"5,0"
Skopje,Паркинг на град Скопје,Булевар Илинден 89,"3,0"
Skopje,Гаража за паркирање,Митрополит Теодосиј Гoлоганов 51,"4,7"
Skopje,Паркинг „Нова Македонија“,Св. Кирил и Методиj 52,"3,0"
Skopje,Паркинг „МОБ“,"Centar, Skopje","5,0"
Skopje,Паркинг,Unnamed Road Skopje 1000,"3,3"
Skopje,Катна Гаража Макоил,Св. Климент Охридски,"4,0"
Skopje,Mitropolit Teodosij Gologanov 36 Garage,Mitropolit Teodosij Gologanov 36,"1,0"
Skopje,Parking Centar,"Unnamed Road, Skopje 1000","3,7"
Skopje,ЈП Паркинзи на општина Центар,Булевар Гоце Делчев 14,"4,0"
Skopje,Катна гаража „Судска палата”,Булевар Гоце Делчев 14,"4,1"
Skopje,Разловечко востание,Мирче Ацев 2,Not known rating
Skopje,Смилевски конгрес,11-ти Март,Not known rating
Skopje,Катна гаража „Судска палата”,Булевар Гоце Делчев 14,"1,0"
Skopje,Parking 106,Јане Сандански,"3,8"
Skopje,Parking Pedagoshka,"Булевар 8-ми Септември 10, Skopje 1000","3,7"
Skopje,Разловечко востание,Мирче Ацев 2,Not known rating
Skopje,Katna garazha,Св. Кирил и Методиj 5,"2,3"
Skopje,Cyril and Methodius,Blvd Macedonia,"1,0"
Skopje,Kosturski Heroi Parking,Kosturski Heroi,Not known rating
Skopje,Parking Zoil,Чаир,"4,1"
Skopje,Паркинг,"Gigo Mihajlovski 10, Skopje 1000",Not known rating
Skopje,Смилевски конгрес,11-ти Март,Not known rating
Skopje,Паркинг Градска болница,11-ти Октомври 18,"2,8"
Skopje,Паркинг „МОБ“,"Centar, Skopje","3,0"
Skopje,Зона Д на градски паркинг,Булевар Јане Сандански 35,Not known rating
Skopje,паркинг Треска,Митрополит Теодосиј Гoлоганов 42,"5,0"
Skopje,Parkiraliste Treska,"Naroden Front 31, Skopje 1000","5,0"
Skopje,Vladimir Polezanovski Road Garage,улица Владимир Полежановски,"4,0"
Skopje,Паркинг Александар Палас,"Булевар 8-ми Септември 10, Skopje 1000","5,0"
Skopje,Паркинг Зебра,Васил Ѓоргов 21,"4,3"
Skopje,Parking Gradeznici,Мито Хаџивасилев Јасмин 8,Not known rating
Skopje,паркинг Антико,Булевар Партизански Одреди 88,Not known rating
Skopje,Паркинг на ПМФ,"Архимедова 3, Скопје 1000",Not known rating
Skopje,Bus station Skopje,ул. Никола Карев 20,"3,4"
Skopje,Беко,Даме Груев 12,"3,4"
Skopje,Паркинг Универзитетска клиника,"Центар, Скопје",Not known rating
Skopje,Паркинг Алуминка,Булевар Партизански Одреди 106,"4,0"
Skopje,Паркинг СЈО,Франклин Рузвелт 34,"3,0"
Skopje,Train station Skopje,Бојмија 4,"3,7"
Skopje,POC parking lot,"Cico Popovikj 9, Skopje 1000",Not known rating
Skopje,Parking Pazarche Taftalidze,Московска 22,Not known rating
Skopje,ПОЦ Паркинг,"Chair, Skopje",Not known rating
Skopje,Паркинг во СРЦ Кале Север,Лазар Личеноски,Not known rating
Skopje,Паркинг Мак Кар,Скупи 1,Not known rating
Skopje,Parking Ministerstvo za ekonomija,Jurij Gagarin 17,"3,0"
Skopje,Паркинг АБЦ,Булевар Илинден 93,"3,0"
Skopje,"Parking Beverly Hills, underground, Skopje,","Centar, Skopje",Not known rating
Skopje,Паркинг Електро,2,Not known rating
Skopje,Паркинг Технолошки,2,"4,0"
Skopje,паркинг Хубо,Скупи 1,"4,2"
Skopje,Паркинг Кореа Ауто трговија,Скупи 47,Not known rating
Skopje,Parking,Бутелска no. 40,"4,0"
Skopje,Главна каса,"Белградска 64, Скопје 1000","5,0"
Skopje,Паркинг на зоолошката градина,Булевар Илинден 89,"3,9"
Skopje,Кресненско востание,Булевар Македонија,"4,1"
Skopje,Подземен паркинг,"Stiv Naumov 7, Skopie 1000",Not known rating
Skopje,Дрводекор,Кеј 13-ти Ноември 6,"4,1"
Skopje,Link Logistik N&N,"MK, Марк Твен","4,1"
Skopje,Parking,"Icering, Булевар Илинден","5,0"
Skopje,Мида,"MK, Булевар 8-ми Септември br. 18","5,0"
Skopje,Станбен паркинг Топанско Поле,1000,"3,7"
Skopje,Restoran Garden,Булевар Илинден,"3,7"
Skopje,Паркинг факултет ПЕС,"Димче Мирчев, Димче Мирчев",Not known rating
Skopje,Велоштад,Nikola Karev 22,Not known rating
Skopje,Скопје Сити Мол,Љубљанска 4,"4,4"
Skopje,Grand Prestige Home,Митрополит Теодосиј Гoлоганов 98,"4,2"
Skopje,Олимпико,"MK, Булевар 8-ми Септември no. 38","4,5"
Skopje,Градски трговски центар Скопје,Kej 13 Noemvri,"4,1"
Skopje,Техномаркет Стадион,Аминта трети,"4,3"
Skopje,Tidea,Перо Наков 108a,"4,5"
Skopje,Меркур Македонија,"Булевар Александар Македонски 12, 1000","4,4"
Skopje,Трговски центар Рамстор,SS Cyril and Methodius 13,"4,3"
Skopje,Меѓународен аеродром Скопје,"MK, Автопат „Александар Македонски","3,9"
Ohrid,Паркинг Долни Сарај,Григор Прличев,"4,7"
Ohrid,Parking,Kuzman Josifovski,"5,0"
Ohrid,Паркинг Горица 3,Р1301,"2,8"
Ohrid,Паркинг К. Јосифоски,Kuzman Josifovski,"3,5"
Ohrid,Parking Area Besjani,MK,"3,5"
Ohrid,Автобуска станица Охрид,Веле Марков 9,"4,9"
Ohrid,Parking,R1208,"5,0"
Ohrid,Паркинг во Заливот на коските,Р501,"4,2"
Ohrid,Parking Gorna dzamija,"Мехмет Али Паша, Плоштад","5,0"
Ohrid,Ramstore Express,Jane Sandanski 98,Not known rating
Ohrid,Tinex,"bb, 7-ми Ноември",Not known rating
Ohrid,Sixt rent a car Ohrid/Hotel Aleksandrija,"MK, Kosta Abrash",Not known rating
Ohrid,St. Paul the Apostle Airport,P.FAH 134 6000 MK,Not known rating
Struga,Паркинг за автомобили,Григор Прличев,"4,7"
Struga,Parking,Kuzman Josifovski,"5,0"
Struga,Parking gradski grobista,Р1301,"2,8"
Struga,Parking,Kuzman Josifovski,"3,5"
Struga,Parking,MK,"3,5"
Struga,Parking Area Besjani,Веле Марков 9,"4,9"
Struga,Автобуска станица Струга,R1208,"5,0"
Struga,Паркинг Градска Болница,Р501,"4,2"
Struga,Ohd,"Мехмет Али Паша, Плоштад","5,0"
