City,Name,Location,Rating
Skopje,Parking,Кеј 13-ти Ноември 8,"5,0"
Skopje,Паркинг на град Скопје,Булевар Илинден 89,"3,0"
Skopje,Гаража за паркирање,Митрополит Теодосиј Гoлоганов 51,"4,7"
Skopje,Паркинг „Нова Македонија“,Св. Кирил и Методиj 52,"3,0"
Skopje,Паркинг „МОБ“,"Centar, Skopje","5,0"
Skopje,Паркинг,Unnamed Road Skopje 1000,"3,3"
Skopje,Катна Гаража Макоил,Св. Климент Охридски,"4,0"
Skopje,Катна гаража Филип Втори Македонски,Not known location,"4,0"
Skopje,Паркинг Пошта на Северна Македонија,Not known location,"2,6"
Skopje,Mitropolit Teodosij Gologanov 36 Garage,Mitropolit Teodosij Gologanov 36,"1,0"
Skopje,Parking Centar,"Unnamed Road, Skopje 1000","3,7"
Skopje,авто Паркинг,Not known location,"3,6"
Skopje,ЈП Паркинзи на општина Центар,Булевар Гоце Делчев 14,"4,0"
Skopje,Катна гаража „Судска палата”,Булевар Гоце Делчев 14,"4,1"
Skopje,Систина паркинг,Not known location,"3,8"
Skopje,Паркинг бул. Кочо Рацин,Not known location,Not known rating
Skopje,Разловечко востание,Мирче Ацев 2,Not known rating
Skopje,Смилевски конгрес,11-ти Март,Not known rating
Skopje,Катна Гаража Илинден (Бисер),Not known location,Not known rating
Skopje,паркинг Кеј,Not known location,Not known rating
Skopje,Катна гаража „Судска палата”,Булевар Гоце Делчев 14,"1,0"
Skopje,Parking 106,Јане Сандански,"3,8"
Skopje,Parking Pedagoshka,"Булевар 8-ми Септември 10, Skopje 1000","3,7"
Skopje,Паркинг ТЦ Буњаковец,Not known location,"3,3"
Skopje,Катна гаража Филип Втори Македонски,Not known location,"4,4"
Skopje,Паркинг Континентал,Not known location,"3,3"
Skopje,паркинг Лептокарија,Not known location,"4,0"
Skopje,Разловечко востание,Мирче Ацев 2,Not known rating
Skopje,Katna garazha,Св. Кирил и Методиj 5,"2,3"
Skopje,паркинг Кеј,Not known location,"3,4"
Skopje,Паркинг „Градски парк“,Not known location,"5,0"
Skopje,Паркинг Рамстор,Not known location,"3,5"
Skopje,Cyril and Methodius,Blvd Macedonia,"1,0"
Skopje,Паркинг „МТВ“,Not known location,Not known rating
Skopje,Паркинг,Not known location,"5,0"
Skopje,Паркинг градежен,Not known location,"4,0"
Skopje,Kosturski Heroi Parking,Kosturski Heroi,Not known rating
Skopje,Parking Zoil,Чаир,"4,1"
Skopje,Паркинг,"Gigo Mihajlovski 10, Skopje 1000",Not known rating
Skopje,Смилевски конгрес,11-ти Март,Not known rating
Skopje,Паркинг Градска болница,11-ти Октомври 18,"2,8"
Skopje,Паркинг „МОБ“,"Centar, Skopje","3,0"
Skopje,Паркинг Хотел Русија,Not known location,"5,0"
Skopje,Зона Д на градски паркинг,Булевар Јане Сандански 35,Not known rating
Skopje,авто Паркинг,Not known location,"4,0"
Skopje,паркинг Треска,Митрополит Теодосиј Гoлоганов 42,"5,0"
Skopje,Паркинг Скопје Цитаделата,Not known location,"3,0"
Skopje,Indoor parking,Not known location,Not known rating
Skopje,Паркинг Клинички центар,Not known location,"2,0"
Skopje,Parkiraliste Treska,"Naroden Front 31, Skopje 1000","5,0"
Skopje,Vladimir Polezanovski Road Garage,улица Владимир Полежановски,"4,0"
Skopje,паркинг АМСМ,Not known location,"5,0"
Skopje,Паркинг Александар Палас,"Булевар 8-ми Септември 10, Skopje 1000","5,0"
Skopje,Паркинг Зебра,Васил Ѓоргов 21,"4,3"
Skopje,Ulica,Not known location,"4,8"
Skopje,Паркинг СЦ Јане Сандански,Not known location,"5,0"
Skopje,Parking Gradeznici,Мито Хаџивасилев Јасмин 8,Not known rating
Skopje,Паркинг на амбасадата на САД,Not known location,"4,0"
Skopje,паркинг Антико,Булевар Партизански Одреди 88,Not known rating
Skopje,Паркинг МВР Пролет,Not known location,Not known rating
Skopje,Паркинг на УКИМ,Not known location,"4,7"
Skopje,Паркинг на ПМФ,"Архимедова 3, Скопје 1000",Not known rating
Skopje,Паркинг „Судска палата”,Not known location,Not known rating
Skopje,паркинг Универзална,Not known location,"3,9"
Skopje,Bus station Skopje,ул. Никола Карев 20,"3,4"
Skopje,Беко,Даме Груев 12,"3,4"
Skopje,Паркинг Универзитетска клиника,"Центар, Скопје",Not known rating
Skopje,Паркинг Зелениот пазар,Not known location,"4,0"
Skopje,Parking Lot,Not known location,Not known rating
Skopje,Паркинг Пластичарска,Not known location,"3,6"
Skopje,Паркинг Пазар Ѓорче Петров,Not known location,"3,2"
Skopje,Паркинг Алуминка,Булевар Партизански Одреди 106,"4,0"
Skopje,паркинг НБМ,Not known location,Not known rating
Skopje,Паркинг СЈО,Франклин Рузвелт 34,"3,0"
Skopje,Солунски конгрес,Not known location,"3,0"
Skopje,Parking „Bucharest“,Not known location,Not known rating
Skopje,Train station Skopje,Бојмија 4,"3,7"
Skopje,POC parking lot,"Cico Popovikj 9, Skopje 1000",Not known rating
Skopje,Parking Pazarche Taftalidze,Московска 22,Not known rating
Skopje,паркинг МВР,Not known location,"2,9"
Skopje,ПОЦ Паркинг,"Chair, Skopje",Not known rating
Skopje,паркинг Олимпико,Not known location,"5,0"
Skopje,Паркинг Сити Мол,Not known location,"3,7"
Skopje,Паркинг во СРЦ Кале Север,Лазар Личеноски,Not known rating
Skopje,Паркинг Тојота,Not known location,"3,0"
Skopje,Паркинг Мак Кар,Скупи 1,Not known rating
Skopje,Parking Ministerstvo za ekonomija,Jurij Gagarin 17,"3,0"
Skopje,паркинг МПЦ,Not known location,"5,0"
Skopje,Паркинг АБЦ,Булевар Илинден 93,"3,0"
Skopje,Паркинг Економски институт,Not known location,"1,0"
Skopje,"Parking Beverly Hills, underground, Skopje,","Centar, Skopje",Not known rating
Skopje,Воена болница,Not known location,"3,7"
Skopje,Влез на паркинг,Not known location,"3,0"
Skopje,Паркинг во СРЦ Кале Југ,Not known location,Not known rating
Skopje,Паркинг Електро,2,Not known rating
Skopje,Паркинг Технолошки,2,"4,0"
Skopje,Паркинг Веро Џамбо,Not known location,"4,5"
Skopje,паркинг Хубо,Скупи 1,"4,2"
Skopje,Долно Водно Паркинг,Not known location,"4,5"
Skopje,Паркинг Кореа Ауто трговија,Скупи 47,Not known rating
Skopje,Parking,Бутелска no. 40,"4,0"
Skopje,Главна каса,"Белградска 64, Скопје 1000","5,0"
Skopje,Паркинг на зоолошката градина,Булевар Илинден 89,"3,9"
